Log started on 2021_03_09_104339
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0,-7.80626e-18,0.0202255,-7.4025e-08,0,0,0
0.005,-7.999e-18,0.0201642,-0.119453,-5.2167e-16,-0.024525,-107.663
0.01,-5.73422e-18,0.0199802,-0.67938,3.28961e-15,-0.04905,-290.5
0.015,3.05986e-17,0.0196737,-0.980079,8.32976e-15,-0.073575,-331.196
0.02,7.42076e-17,0.0192445,-1.02224,9.57953e-15,-0.0981,-283.742
0.025,1.23165e-16,0.0186927,-0.929115,1.46006e-14,-0.122625,-148.165
0.03,1.97614e-16,0.0180182,-0.877924,1.87901e-14,-0.14715,-46.9505
0.035,-3.1921e-05,0.0175725,-1.39481,-0.00322524,-0.0421844,-88.8455
0.04,-5.05462e-05,0.0174897,-1.54703,-0.00467807,0.00501083,90.4329
0.045,-7.62869e-05,0.0175178,-1.44041,-0.00556183,0.005984,58.1259
0.05,-0.000105544,0.0175474,-1.3963,-0.00609148,0.00571293,48.474
0.055,-0.000136764,0.0175735,-1.34352,-0.00636129,0.00460912,46.7923
0.06,-0.000168826,0.0175929,-1.27457,-0.00643552,0.00310487,45.1135
0.065,-0.00020085,0.0176045,-1.20004,-0.00635179,0.00155885,42.2154
0.07,-0.000232135,0.0176088,-1.13019,-0.00614556,0.000234228,38.5377
0.075,-0.000262162,0.0176075,-1.07097,-0.00585455,-0.000713955,34.872
0.08,-0.000290598,0.0176024,-1.02368,-0.00551452,-0.00123679,31.9117
0.085,-0.000317273,0.0175958,-0.98615,-0.00515417,-0.00137189,29.9484
0.09,-0.000342138,0.0175892,-0.954836,-0.00479241,-0.00121294,28.7161
0.095,-0.00036521,0.0175839,-0.926903,-0.00443817,-0.000877543,27.5258
0.1,-0.000386533,0.0175805,-0.901414,-0.00409207,-0.00047978,25.7198
0.105,-0.000406137,0.0175791,-0.878922,-0.00374914,-0.000111204,23.1282
0.11,-0.000424017,0.0175793,-0.860092,-0.00340162,0.000168839,20.0932
0.115,-0.000440131,0.0175806,-0.844761,-0.0030415,0.000334504,17.0955
0.12,-0.0004544,0.0175824,-0.831999,-0.00266239,0.000388433,14.4197
0.125,-0.000466716,0.0175843,-0.820738,-0.0022606,0.000353072,12.0873
0.13,-0.000476966,0.0175859,-0.810296,-0.00183558,0.000260877,9.95981
0.135,-0.000485036,0.0175869,-0.80056,-0.00138964,0.000145497,7.86098
0.14,-0.000490835,0.0175873,-0.791902,-0.000927442,3.52673e-05,5.65144
