Log started on 2021_03_09_104339
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0.145,-0.000494294,0.0175873,-0.784971,-0.000455138,-5.0457e-05,3.25618
0.15,-0.000495381,0.0175869,-0.780483,2.03615e-05,-0.000102271,0.663702
0.155,-0.000494097,0.0175863,-0.779058,0.000492099,-0.000119601,-2.08778
0.16,-0.000490477,0.0175857,-0.781123,0.000953576,-0.000108313,-4.92834
0.165,-0.000484588,0.0175853,-0.786876,0.00139907,-7.78394e-05,-7.77447
0.17,-0.000476522,0.017585,-0.796286,0.0018238,-3.8498e-05,-10.545
0.175,-0.000466392,0.0175849,-0.809143,0.00222389,5.89048e-07,-13.1731
0.18,-0.00045433,0.017585,-0.825117,0.00259632,3.27667e-05,-15.6125
0.185,-0.00044048,0.0175852,-0.843816,0.00293874,5.43234e-05,-17.8384
0.19,-0.000424996,0.0175855,-0.864851,0.00324936,6.43143e-05,-19.8426
0.195,-0.000408043,0.0175858,-0.887867,0.00352675,6.39502e-05,-21.6267
0.2,-0.000389787,0.0175861,-0.912558,0.00376973,5.57848e-05,-23.1939
0.205,-0.000370403,0.0175883,-1.02051,0.00400272,0.00131303,-88.9591
0.21,-0.000348402,0.0175906,-1.54388,0.00490888,-0.00128823,-136.05
0.215,-0.000321675,0.0175769,-2.07666,0.00566955,-0.00379221,-146.438
0.22,-0.000292965,0.0175565,-2.63639,0.00570752,-0.0040621,-162.393
0.225,-0.000265529,0.0175385,-3.25475,0.00519943,-0.00300219,-155.892
0.23,-0.000241494,0.0175273,-3.85299,0.00438174,-0.00144868,-94.0091
0.235,-0.000221908,0.0175238,-4.24125,0.00344676,-1.99851e-07,-18.0432
0.24,-0.000206985,0.0175265,-4.35195,0.0025344,0.000997539,38.623
0.245,-0.000196371,0.0175328,-4.21763,0.00173396,0.00143311,78.2031
0.25,-0.000189379,0.01754,-3.93442,0.001089,0.001373,83.8166
0.255,-0.000185206,0.017546,-3.65729,0.000605017,0.000984113,60.4165
0.26,-0.000183092,0.0175496,-3.45981,0.000259894,0.000459305,36.0001
0.265,-0.000182435,0.0175506,-3.33634,1.55478e-05,-3.70674e-05,18.169
0.27,-0.000182839,0.0175495,-3.26988,-0.000171002,-0.000397574,5.53329
0.275,-0.000184114,0.017547,-3.24722,-0.000338878,-0.000577236,-3.18682
0.28,-0.000186247,0.017544,-3.25693,-0.000517758,-0.000583563,-8.55231
0.285,-0.000189341,0.0175414,-3.28782,-0.00072547,-0.000458968,-10.9398
0.29,-0.000193562,0.0175395,-3.32898,-0.000968188,-0.000261792,-10.8339
0.295,-0.000199077,0.0175388,-3.37069,-0.0012424,-5.00092e-05,-8.89004
0.3,-0.000206022,0.017539,-3.4054,-0.00153783,0.00013026,-5.88298
0.305,-0.000214468,0.01754,-3.42849,-0.00184056,0.000250751,-2.611
0.31,-0.000224415,0.0175414,-3.43858,-0.00213595,0.000302011,0.213423
0.315,-0.000235792,0.0175429,-3.43722,-0.0024108,0.000290449,2.07185
0.32,-0.00024847,0.0175442,-3.428,-0.00265478,0.000233068,2.71706
0.325,-0.000262276,0.0175452,-3.41531,-0.0028611,0.000151478,2.17971
0.33,-0.000277011,0.0175457,-3.40317,-0.00302639,6.65524e-05,0.69443
0.335,-0.000292469,0.0175459,-3.39453,-0.00315021,-5.39247e-06,-1.41601
0.34,-0.000308446,0.0175457,-3.39103,-0.00323422,-5.45423e-05,-3.84521
0.345,-0.000324749,0.0175454,-3.39317,-0.00328133,-7.77778e-05,-6.36858
0.35,-0.000341202,0.017545,-3.40067,-0.00329494,-7.75451e-05,-8.87154
0.355,-0.000357647,0.0175446,-3.41281,-0.00327831,-5.99762e-05,-11.3546
0.36,-0.000373939,0.0175444,-3.42876,-0.00323423,-3.28174e-05,-13.9292
0.365,-0.000389946,0.0175443,-3.44787,-0.00316482,-3.60248e-06,-16.8134
0.37,-0.000405546,0.0175443,-3.46993,-0.00307163,2.1658e-05,-20.3364
0.375,-0.000420624,0.0175445,-3.49532,-0.0029557,3.91705e-05,-24.9562
0.38,-0.000435066,0.0175447,-3.52527,-0.00281782,4.7475e-05,-31.2962
0.385,-0.000448766,0.0175449,-3.56205,-0.00265871,4.71144e-05,-40.1951
0.39,-0.000461619,0.0175452,-3.6092,-0.00247923,4.00365e-05,-52.7385
0.395,-0.000473525,0.0175453,-3.67167,-0.0022805,2.89007e-05,-70.151
0.4,-0.000484393,0.0175455,-3.7556,-0.00206398,1.64397e-05,-93.1968
0.405,-0.000494372,0.0175469,-3.66359,-0.00227205,0.000840164,32.7242
0.41,-0.00051379,0.0175455,-3.73912,-0.00521234,-0.00190802,-77.0232
0.415,-0.000542348,0.0175322,-4.10507,-0.00596693,-0.00285848,-100.964
0.42,-0.000572093,0.0175209,-4.51813,-0.0058854,-0.00142657,-90.433
0.425,-0.000600586,0.0175189,-4.86827,-0.0053758,0.000568845,-66.0434
0.43,-0.000625463,0.017526,-5.10896,-0.00458994,0.00221242,-38.617
0.435,-0.000646893,0.0175399,-5.2353,-0.00403536,0.00322017,-14.4305
0.44,-0.00066643,0.0175571,-5.25883,-0.00383651,0.00355633,5.47414
0.445,-0.00068581,0.0175745,-5.17653,-0.00396056,0.00335598,29.6355
0.45,-0.00070643,0.0175899,-4.85513,-0.00431698,0.00275154,133.197
0.455,-0.000729228,0.0176013,-3.71736,-0.00482031,0.00172519,300.947
0.46,-0.000754784,0.0176061,-3.18714,-0.00541351,2.41336e-05,91.6936
0.465,-0.000783463,0.0175996,-3.03621,-0.00606596,-0.00287036,46.0537
0.47,-0.000815515,0.017574,-2.97374,-0.00676017,-0.00772236,28.0575
0.475,-0.000851101,0.0175175,-2.95655,-0.00747544,-0.015427,17.2254
0.48,-0.000890245,0.0174136,-2.97786,-0.00817563,-0.026742,9.61187
0.485,-0.000932744,0.0172435,-3.04086,-0.00880884,-0.041893,5.17509
0.49,-0.000978127,0.0169892,-3.15432,-0.00932176,-0.0602556,6.8286
0.495,-0.0010257,0.016638,-3.33383,-0.0096797,-0.0803586,24.1402
0.5,-0.00107465,0.016186,-3.60094,-0.00987791,-0.100229,83.1324
0.505,-0.00112424,0.0156395,-3.94598,-0.00993969,-0.117854,211.602
0.51,-0.00113237,0.0152203,-5.02693,0.00384952,-0.0654175,-43.2238
0.515,-0.00109303,0.014924,-5.85264,0.0121848,-0.0532054,-70.6148
0.52,-0.00100879,0.0146916,-6.39833,0.0216137,-0.0395262,-86.9685
0.525,-0.000876436,0.0145287,-6.94471,0.0313151,-0.0258782,-103.522
0.53,-0.000696215,0.0144286,-7.53604,0.0406816,-0.0146826,-122.087
0.535,-0.000470878,0.0143753,-8.18415,0.0493144,-0.00732636,-143.929
0.54,-0.000204671,0.0143481,-8.8949,0.0570119,-0.0042006,-169.397
0.545,9.76082e-05,0.0143266,-9.66988,0.0637533,-0.00495748,-197.764
0.55,0.000431453,0.0142933,-10.5076,0.0696696,-0.00879538,-226.834
0.555,0.00079331,0.0142352,-11.4073,0.075003,-0.0147163,-252.763
0.56,0.00117911,0.0141479,-12.3809,0.078011,-0.0142475,-286.11
