Log started on 2021_03_09_104147
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0,-7.80626e-18,0.0202255,-7.4025e-08,0,0,0
0.005,-7.80626e-18,0.0201642,1.96469e-08,-5.73036e-16,-0.024525,6.7867
0.01,-1.57089e-17,0.0199802,1.14511e-07,-1.69719e-15,-0.04905,13.5734
0.015,-2.80447e-17,0.0196737,1.93447e-07,-3.65737e-15,-0.073575,20.3601
0.02,-4.65484e-17,0.0192445,2.03271e-07,-4.07827e-15,-0.0981,27.1468
0.025,-6.44739e-17,0.0186927,2.06197e-07,-4.46808e-15,-0.122625,33.9335
0.03,-9.46388e-17,0.0180182,2.45791e-07,-6.84087e-15,-0.14715,40.7202
0.035,3.52774e-10,0.017225,-4.63074e-05,7.05549e-07,-0.150356,45.159
0.04,1.21926e-07,0.0171645,-0.0016705,3.01322e-05,0.00702641,-2.00851
0.045,2.28743e-07,0.0171908,-0.0015531,1.33493e-05,0.00375326,-1.05461
0.05,2.61811e-07,0.0172047,-0.00145392,6.02084e-07,0.00196806,-0.503704
0.055,2.43056e-07,0.0172119,-0.00133544,-7.31395e-06,0.00103317,-0.197593
0.06,1.96567e-07,0.0172157,-0.00119368,-1.06114e-05,0.000542808,-0.0426823
0.065,1.42985e-07,0.0172178,-0.00105237,-1.03636e-05,0.000285335,0.021211
0.07,9.65759e-08,0.0172188,-0.000935563,-7.96892e-06,0.000150049,0.034155
0.075,6.46846e-08,0.0172194,-0.000857006,-4.74665e-06,7.89308e-05,0.0228966
0.08,4.87971e-08,0.0172197,-0.000818734,-1.69498e-06,4.15301e-05,0.0044452
0.085,4.6423e-08,0.0172198,-0.000814013,5.97096e-07,2.18552e-05,-0.011603
0.09,5.31072e-08,0.0172199,-0.000831617,1.92109e-06,1.15023e-05,-0.0211168
0.095,6.41066e-08,0.0172199,-0.000859733,2.35169e-06,6.05317e-06,-0.0236275
0.1,7.55058e-08,0.0172199,-0.000888645,2.12599e-06,3.18446e-06,-0.0207247
0.105,8.47441e-08,0.01722,-0.000912007,1.53316e-06,1.67389e-06,-0.014774
0.11,9.06605e-08,0.01722,-0.000926965,8.33852e-07,8.78297e-07,-0.00802965
0.115,9.32248e-08,0.01722,-0.000933477,2.15373e-07,4.59155e-07,-0.00214449
0.12,9.31279e-08,0.01722,-0.000933294,-2.21004e-07,2.38251e-07,0.00198698
0.125,9.13703e-08,0.01722,-0.000928934,-4.49859e-07,1.2175e-07,0.00415413
0.13,8.89361e-08,0.01722,-0.00092287,-4.99094e-07,6.02407e-08,0.00463103
0.135,8.65903e-08,0.01722,-0.00091702,-4.24396e-07,2.77068e-08,0.00394422
0.14,8.47978e-08,0.01722,-0.000912553,-2.87211e-07,1.04482e-08,0.00267043
0.145,8.3735e-08,0.01722,-0.000909912,-1.39607e-07,1.25019e-09,0.00129713
0.15,8.33588e-08,0.01722,-0.00090899,-1.66912e-08,-3.6883e-09,0.000152724
0.155,8.34965e-08,0.01722,-0.000909354,6.45805e-08,-6.37212e-09,-0.000604153
0.16,8.39301e-08,0.01722,-0.000910458,1.02318e-07,-7.86082e-09,-0.000955559
0.165,8.44591e-08,0.01722,-0.000911803,1.0455e-07,-8.71613e-09,-0.000976174
0.17,8.49366e-08,0.01722,-0.000913018,8.38728e-08,-9.23702e-09,-0.000783332
0.175,8.52808e-08,0.01722,-0.000913899,5.31004e-08,-9.5832e-09,-0.000496434
0.18,8.54681e-08,0.01722,-0.000914389,2.24689e-08,-9.84005e-09,-0.000210876
0.185,8.55169e-08,0.01722,-0.000914531,-1.58295e-09,-1.0053e-08,1.33295e-05
0.19,8.54681e-08,0.01722,-0.00091443,-1.638e-08,-1.02458e-08,0.000151254
0.195,8.53684e-08,0.01722,-0.000914201,-2.21925e-08,-1.04306e-08,0.000205419
0.2,8.5258e-08,0.01722,-0.000913946,-2.10944e-08,-1.06131e-08,0.000195162
0.205,8.51113e-08,0.01722,-0.000905627,-6.85918e-08,1.31243e-05,0.00247876
0.21,8.42289e-08,0.0172201,-0.000873917,-2.73101e-07,1.14768e-05,0.00411573
0.215,8.2628e-08,0.0172201,-0.00085293,-3.45137e-07,5.90312e-06,0.00402696
0.22,8.09659e-08,0.0172201,-0.00084007,-3.06482e-07,3.02663e-06,0.00326878
0.225,7.96585e-08,0.0172201,-0.000832353,-2.11427e-07,1.54919e-06,0.00218071
0.23,7.88711e-08,0.0172201,-0.000828111,-1.04443e-07,7.90404e-07,0.00108132
0.235,7.85839e-08,0.0172201,-0.00082623,-1.46942e-08,4.00704e-07,0.000193114
0.24,7.86709e-08,0.0172202,-0.000825851,4.41424e-08,2.00547e-07,-0.000381606
0.245,7.89701e-08,0.0172202,-0.000826294,7.07366e-08,9.77171e-08,-0.000643206
0.25,7.93343e-08,0.0172202,-0.00082705,7.1533e-08,4.48567e-08,-0.000658108
0.255,7.96582e-08,0.0172202,-0.000827787,5.62663e-08,1.76465e-08,-0.000520141
0.26,7.9886e-08,0.0172202,-0.000828328,3.4504e-08,3.59934e-09,-0.000319949
0.265,8.00048e-08,0.0172202,-0.000828621,1.35739e-08,-3.69561e-09,-0.000126524
0.27,8.00307e-08,0.0172202,-0.000828696,-2.20446e-09,-7.52903e-09,1.9529e-05
0.275,7.99942e-08,0.0172202,-0.000828623,-1.13201e-08,-9.58944e-09,0.000103927
0.28,7.99279e-08,0.0172202,-0.00082848,-1.4323e-08,-1.07429e-08,0.000131656
0.285,7.98585e-08,0.0172202,-0.000828331,-1.29068e-08,-1.14331e-08,0.00011839
0.29,7.98029e-08,0.0172202,-0.000828218,-9.0917e-09,-1.18876e-08,8.28682e-05
0.295,7.97686e-08,0.0172202,-0.000828157,-4.64995e-09,-1.22227e-08,4.15418e-05
0.3,7.97553e-08,0.0172202,-0.00082815,-8.08327e-10,-1.2498e-08,5.80196e-06
0.305,7.97584e-08,0.0172202,-0.000828183,1.81346e-09,-1.2744e-08,-1.85972e-05
