Log started on 2021_03_09_103942
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0.285,7.95831e-08,0.0172202,-0.000827617,6.06289e-08,2.17489e-08,-0.00056009
0.29,7.98364e-08,0.0172202,-0.000828215,4.00074e-08,5.72125e-09,-0.00037078
0.295,7.99819e-08,0.0172202,-0.000828571,1.85574e-08,-2.58934e-09,-0.000172671
0.3,8.00294e-08,0.0172202,-0.000828697,1.35438e-09,-6.94317e-09,-1.34546e-05
0.305,8.00065e-08,0.0172202,-0.000828657,-9.42551e-09,-9.26994e-09,8.63696e-05
0.31,7.9946e-08,0.0172202,-0.000828528,-1.38705e-08,-1.05595e-08,0.000127479
0.315,7.98761e-08,0.0172202,-0.000828378,-1.34401e-08,-1.13191e-08,0.000123363
0.32,7.98165e-08,0.0172202,-0.000828254,-1.01119e-08,-1.18089e-08,9.23603e-05
0.325,7.97768e-08,0.0172202,-0.00082818,-5.74274e-09,-1.21617e-08,5.17058e-05
0.33,7.97585e-08,0.0172202,-0.00082816,-1.70336e-09,-1.24459e-08,1.41269e-05
0.335,7.97578e-08,0.0172202,-0.000828184,1.23823e-09,-1.26962e-08,-1.32448e-05
0.34,7.97686e-08,0.0172202,-0.000828236,2.85435e-09,-1.29307e-08,-2.82963e-05
0.345,7.97844e-08,0.0172202,-0.000828301,3.29951e-09,-1.31586e-08,-3.2465e-05
0.35,7.98002e-08,0.0172202,-0.000828367,2.92853e-09,-1.3385e-08,-2.90489e-05
0.355,7.9813e-08,0.0172202,-0.000828426,2.14037e-09,-1.36123e-08,-2.1756e-05
0.36,7.98215e-08,0.0172202,-0.000828475,1.27259e-09,-1.3842e-08,-1.37234e-05
0.365,7.98259e-08,0.0172202,-0.000828514,5.50068e-10,-1.40748e-08,-7.04102e-06
0.37,7.98274e-08,0.0172202,-0.000828546,7.86483e-11,-1.43112e-08,-2.69259e-06
0.375,7.98272e-08,0.0172202,-0.000828575,-1.3241e-10,-1.45514e-08,-7.64175e-07
0.38,7.98264e-08,0.0172202,-0.000828603,-1.35184e-10,-1.47955e-08,-7.71873e-07
0.385,7.9826e-08,0.0172202,-0.000828632,-7.84455e-12,-1.50435e-08,-1.98926e-06
0.39,7.98264e-08,0.0172202,-0.000828663,1.72771e-10,-1.52957e-08,-3.70231e-06
0.395,7.98278e-08,0.0172202,-0.000828698,3.47696e-10,-1.55519e-08,-5.36303e-06
0.4,7.98299e-08,0.0172202,-0.000828735,4.82021e-10,-1.58123e-08,-6.64703e-06
0.405,7.98325e-08,0.0172202,-0.000828774,5.63353e-10,-1.60769e-08,-7.43916e-06
0.41,7.98354e-08,0.0172202,-0.000828814,5.95876e-10,-1.63458e-08,-7.77828e-06
0.415,7.98384e-08,0.0172202,-0.000828854,5.93015e-10,-1.66191e-08,-7.78919e-06
0.42,7.98413e-08,0.0172202,-0.000828896,5.70896e-10,-1.68969e-08,-7.62174e-06
0.425,7.98441e-08,0.0172202,-0.000828937,5.43722e-10,-1.71791e-08,-7.40793e-06
0.43,7.98467e-08,0.0172202,-0.000828978,5.21365e-10,-1.7466e-08,-7.23952e-06
0.435,7.98356e-08,0.0172202,-0.000826009,-1.84664e-08,7.37795e-06,0.00124159
0.44,7.93229e-08,0.0172202,-0.000800506,-1.9198e-07,1.08124e-05,0.00321898
0.445,7.81064e-08,0.0172203,-0.000781563,-2.74487e-07,5.58762e-06,0.00330152
0.45,7.67518e-08,0.0172203,-0.00077001,-2.54957e-07,2.87059e-06,0.00275427
0.455,7.56481e-08,0.0172203,-0.000763077,-1.81458e-07,1.47152e-06,0.00188377
0.46,7.49601e-08,0.0172203,-0.000759222,-9.40634e-08,7.5116e-07,0.000975884
0.465,7.46853e-08,0.0172203,-0.00075744,-1.92525e-08,3.80245e-07,0.000231804
0.47,7.47242e-08,0.0172203,-0.000756972,3.03997e-08,1.89232e-07,-0.000254717
0.475,7.49436e-08,0.0172203,-0.000757228,5.33603e-08,9.08265e-08,-0.00048124
0.48,7.52214e-08,0.0172203,-0.000757773,5.49651e-08,4.00857e-08,-0.000503296
0.485,7.54708e-08,0.0172203,-0.000758326,4.33803e-08,1.38731e-08,-0.000399713
0.49,7.56464e-08,0.0172203,-0.000758739,2.65575e-08,2.79105e-10,-0.000245812
0.495,7.57378e-08,0.0172203,-0.000758968,1.04733e-08,-6.82575e-09,-9.78233e-05
0.5,7.57583e-08,0.0172203,-0.000759035,-1.46255e-09,-1.05957e-08,1.22102e-05
0.505,7.57322e-08,0.0172203,-0.000758994,-8.16472e-09,-1.26533e-08,7.40011e-05
0.51,7.56847e-08,0.0172203,-0.000758905,-1.01903e-08,-1.3833e-08,9.25897e-05
0.515,7.56358e-08,0.0172203,-0.000758815,-8.95062e-09,-1.45636e-08,8.09915e-05
0.52,7.5598e-08,0.0172203,-0.000758753,-6.04292e-09,-1.50653e-08,5.39727e-05
0.525,7.55759e-08,0.0172203,-0.00075873,-2.80704e-09,-1.54514e-08,2.39315e-05
0.53,7.55689e-08,0.0172203,-0.000758745,-1.19903e-10,-1.57799e-08,-1.01537e-06
0.535,7.55731e-08,0.0172203,-0.000758787,1.6207e-09,-1.60808e-08,-1.71865e-05
0.54,7.55835e-08,0.0172203,-0.000758845,2.39529e-09,-1.63696e-08,-2.44041e-05
0.545,7.55958e-08,0.0172203,-0.000758908,2.41516e-09,-1.66542e-08,-2.46272e-05
0.55,7.56069e-08,0.0172203,-0.000758969,1.98085e-09,-1.6939e-08,-2.06416e-05
0.555,7.56153e-08,0.0172203,-0.000759024,1.37694e-09,-1.72261e-08,-1.50845e-05
0.56,7.56207e-08,0.0172203,-0.000759072,8.12814e-10,-1.75169e-08,-9.8964e-06
0.565,7.56237e-08,0.0172203,-0.000759115,4.04556e-10,-1.78118e-08,-6.15322e-06
0.57,7.56251e-08,0.0172203,-0.000759154,1.85686e-10,-1.81114e-08,-4.16557e-06
0.575,7.56258e-08,0.0172203,-0.000759193,1.32593e-10,-1.84158e-08,-3.71472e-06
0.58,7.56266e-08,0.0172203,-0.000759232,1.92944e-10,-1.87252e-08,-4.31577e-06
0.585,7.56278e-08,0.0172203,-0.000759273,3.09299e-10,-1.90396e-08,-5.43645e-06
0.59,7.56297e-08,0.0172203,-0.000759317,4.34413e-10,-1.93592e-08,-6.639e-06
0.595,7.56322e-08,0.0172203,-0.000759362,5.38038e-10,-1.9684e-08,-7.64314e-06
0.6,7.5635e-08,0.0172203,-0.000759409,6.07072e-10,-2.00141e-08,-8.32745e-06
0.605,7.56382e-08,0.0172203,-0.000759457,6.41691e-10,-2.03496e-08,-8.69359e-06
0.61,7.56414e-08,0.0172203,-0.000759506,6.49974e-10,-2.06905e-08,-8.81643e-06
0.615,7.56446e-08,0.0172203,-0.000759556,6.42866e-10,-2.10371e-08,-8.79739e-06
0.62,7.56478e-08,0.0172203,-0.000759607,6.30501e-10,-2.13893e-08,-8.7304e-06
0.625,7.56509e-08,0.0172203,-0.000759658,6.20192e-10,-2.17473e-08,-8.68326e-06
0.63,7.5654e-08,0.0172203,-0.00075971,6.15879e-10,-2.21111e-08,-8.69246e-06
0.635,7.56452e-08,0.0172203,-0.000757155,-1.58976e-08,6.35718e-06,0.00106688
0.64,7.52073e-08,0.0172204,-0.000735433,-1.6259e-07,9.14749e-06,0.0026944
0.645,7.4189e-08,0.0172204,-0.000719542,-2.27514e-07,4.7294e-06,0.00273058
0.65,7.30781e-08,0.0172204,-0.000709914,-2.06668e-07,2.43284e-06,0.00223626
0.655,7.2195e-08,0.0172204,-0.000704203,-1.42774e-07,1.24787e-06,0.00148878
0.66,7.16646e-08,0.0172204,-0.000701084,-7.01081e-08,6.36473e-07,0.000735432
0.665,7.14715e-08,0.0172204,-0.000699679,-1.02286e-08,3.20994e-07,0.000139358
0.67,7.15243e-08,0.0172204,-0.000699333,2.76043e-08,1.58168e-07,-0.000232597
0.675,7.17098e-08,0.0172204,-0.000699548,4.33843e-08,7.40813e-08,-0.000390118
0.68,7.19297e-08,0.0172204,-0.000699971,4.24409e-08,3.0603e-08,-0.000387534
