Log started on 2021_02_23_091909
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0,-7.80626e-18,0.0202255,-3.55739e-08,0,0,0
0.005,-7.80626e-18,0.0201642,3.46822e-08,6.59954e-18,-0.024525,6.7867
0.01,-1.13721e-17,0.0199802,1.83624e-07,-1.03967e-15,-0.04905,13.5734
0.015,-1.50343e-17,0.0196737,1.43138e-07,-5.71478e-18,-0.073575,20.3601
0.02,-9.25186e-18,0.0192445,2.35968e-07,1.91298e-15,-0.0981,27.1468
0.025,1.63835e-18,0.0186927,2.58241e-07,2.46191e-15,-0.122625,33.9335
0.03,2.00457e-17,0.0180182,2.39736e-07,5.24084e-15,-0.14715,40.7202
0.035,3.32632e-10,0.017225,-5.03609e-05,6.65264e-07,-0.150377,45.1472
0.04,1.09003e-07,0.0171638,-0.00204513,5.81788e-05,0.00687528,-1.84587
0.045,2.5382e-07,0.0171903,-0.00171717,1.73534e-05,0.00380317,-1.09056
0.05,3.03091e-07,0.0172043,-0.00164872,2.99286e-06,0.00199134,-0.527664
0.055,2.91575e-07,0.0172116,-0.00154709,-6.80731e-06,0.00104402,-0.203411
0.06,2.43349e-07,0.0172155,-0.0014005,-1.17406e-05,0.000547842,-0.0326348
0.065,1.81199e-07,0.0172175,-0.00123685,-1.25549e-05,0.000287651,0.0415218
0.07,1.22605e-07,0.0172186,-0.00108842,-1.05452e-05,0.000151105,0.0582039
0.075,7.81596e-08,0.0172191,-0.00097747,-7.10922e-06,7.94071e-05,0.0449732
0.08,5.18932e-08,0.0172194,-0.000912687,-3.43729e-06,4.17431e-05,0.0206991
0.085,4.27715e-08,0.0172196,-0.000891035,-3.49643e-07,2.19503e-05,-0.0028195
0.09,4.66767e-08,0.0172197,-0.000902053,1.73711e-06,1.15456e-05,-0.0194853
0.095,5.8308e-08,0.0172197,-0.000932358,2.75217e-06,6.07436e-06,-0.0274627
0.1,7.26568e-08,0.0172197,-0.00096932,2.86417e-06,3.19662e-06,-0.027704
