Log started on 2021_02_23_102610
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0,-7.80626e-18,0.0202255,-3.55739e-08,0,0,0
0.005,-7.999e-18,0.0201642,-6.94624e-09,1.86145e-16,-0.024525,6.7867
0.01,-8.09538e-18,0.0199802,1.61943e-07,4.36682e-16,-0.04905,13.5734
0.015,-4.04769e-18,0.0196737,1.41104e-07,-2.33096e-16,-0.073575,20.3601
0.02,-7.03527e-18,0.0192445,1.71766e-07,-2.22617e-15,-0.0981,27.1468
0.025,-2.17804e-17,0.0186927,8.09713e-08,-4.31393e-15,-0.122625,33.9335
0.03,-6.37993e-17,0.0180182,-1.74643e-07,-1.16073e-14,-0.14715,40.7202
0.035,3.32632e-10,0.017225,-5.03545e-05,6.65264e-07,-0.150377,45.1472
0.04,1.09003e-07,0.0171638,-0.00204513,5.81788e-05,0.00687528,-1.84587
0.045,2.5382e-07,0.0171903,-0.00171717,1.73534e-05,0.00380317,-1.09056
0.05,3.03091e-07,0.0172043,-0.00164872,2.99286e-06,0.00199134,-0.527664
0.055,2.91575e-07,0.0172116,-0.00154709,-6.80731e-06,0.00104402,-0.203411
0.06,2.43349e-07,0.0172155,-0.0014005,-1.17406e-05,0.000547842,-0.0326348
0.065,1.81199e-07,0.0172175,-0.00123685,-1.25549e-05,0.000287651,0.0415218
0.07,1.22605e-07,0.0172186,-0.00108842,-1.05452e-05,0.000151105,0.0582039
0.075,7.81596e-08,0.0172191,-0.00097747,-7.10922e-06,7.94071e-05,0.0449732
0.08,5.18932e-08,0.0172194,-0.000912687,-3.43729e-06,4.17431e-05,0.0206991
0.085,4.27715e-08,0.0172196,-0.000891035,-3.49643e-07,2.19503e-05,-0.0028195
0.09,4.66767e-08,0.0172197,-0.000902053,1.73711e-06,1.15456e-05,-0.0194853
0.095,5.8308e-08,0.0172197,-0.000932358,2.75217e-06,6.07436e-06,-0.0274627
0.1,7.26568e-08,0.0172197,-0.00096932,2.86417e-06,3.19662e-06,-0.027704
0.105,8.59083e-08,0.0172197,-0.00100332,2.3641e-06,1.68265e-06,-0.0225981
